numerosity,item_diameter,field_diameter
1,184,427
1,184,508
1,184,562
1,184,604
1,218,427
1,218,508
1,218,562
1,218,604
1,242,427
1,242,508
1,242,562
1,242,604
1,260,427
1,260,508
1,260,562
1,260,604
2,154,508
2,154,604
2,154,669
2,154,719
2,184,508
2,184,604
2,184,669
2,184,719
2,203,508
2,203,604
2,203,669
2,203,719
2,218,508
2,218,604
2,218,669
2,218,719
3,140,562
3,140,669
3,140,740
3,140,795
3,166,562
3,166,669
3,166,740
3,166,795
3,184,562
3,184,669
3,184,740
3,184,795
3,197,562
3,197,669
3,197,740
3,197,795
4,130,604
4,130,719
4,130,795
4,130,855
4,154,604
4,154,719
4,154,795
4,154,855
4,171,604
4,171,719
4,171,795
4,171,855
4,184,604
4,184,719
4,184,795
4,184,855
